danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.939,0.741,5,-5.171,0,0.0471,0.323,0.0,0.107,0.925,118.978
0.634,0.526,5,-7.881,0,0.0333,0.339,0.0,0.257,0.623,90.087
0.829,0.857,8,-4.194,0,0.152,0.26,0.0,0.415,0.586,137.979
0.866,0.454,0,-9.383,1,0.0414,0.0373,1.49e-06,0.275,0.368,99.982
0.798,0.443,2,-6.062,1,0.0402,0.244,0.0,0.326,0.354,125.231
0.742,0.879,0,-4.274,0,0.0328,0.0696,7.17e-06,0.0981,0.936,133.946
0.833,0.568,7,-4.312,1,0.0847,0.0262,0.0,0.11,0.369,89.958
0.739,0.945,0,-4.443,0,0.0881,0.125,0.0,0.112,0.627,130.018
0.716,0.698,7,-6.456,1,0.239,0.102,0.0,0.0728,0.569,176.012
0.656,0.738,11,-7.531,0,0.118,0.0838,2.72e-05,0.0677,0.715,173.877
0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004
0.486,0.881,2,-5.623,0,0.0474,0.0244,0.0,0.429,0.667,144.997
0.487,0.949,2,-4.217,0,0.0798,0.000429,2.91e-05,0.231,0.406,110.02
0.554,0.949,2,-4.928,1,0.0787,0.000318,9.98e-05,0.2,0.233,129.984
0.472,0.772,5,-5.928,1,0.0316,0.00658,5.65e-05,0.132,0.6,139.993
0.286,0.703,4,-4.491,0,0.0348,0.00847,7.39e-05,0.142,0.259,151.297
0.541,0.968,0,-4.129,1,0.0396,0.000248,8.28e-06,0.423,0.505,125.04
0.316,0.729,2,-5.931,0,0.0356,0.0203,8.99e-06,0.207,0.367,163.127
0.393,0.802,5,-4.499,1,0.0367,0.0168,0.0,0.193,0.338,140.101
0.576,0.906,2,-7.677,1,0.0571,0.000332,0.0614,0.0908,0.211,127.935
0.428,0.413,0,-7.783,1,0.0281,0.827,9.35e-06,0.108,0.355,79.646
0.273,0.405,0,-5.81,1,0.0298,0.735,0.0,0.189,0.534,89.48
0.575,0.845,0,-5.28,1,0.0852,0.393,0.0107,0.131,0.439,95.047
0.616,0.669,1,-6.836,1,0.0349,0.562,0.0,0.177,0.475,116.973
