artist_name,genres,followers,artist_popularity,artist_url
Ava Max,pop,7041802,70,https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F
Ava Max,pop,7041802,70,https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F
Alice Cooper,"album rock, classic rock, detroit rock, glam metal, glam rock, hard rock, metal, protopunk, rock",3740417,71,https://open.spotify.com/artist/3EhbVgyfGd7HkpsagwL9GS
Alice Cooper,"album rock, classic rock, detroit rock, glam metal, glam rock, hard rock, metal, protopunk, rock",3740417,68,https://open.spotify.com/artist/3EhbVgyfGd7HkpsagwL9GS
Alice Cooper,"album rock, classic rock, detroit rock, glam metal, glam rock, hard rock, metal, protopunk, rock",3740417,58,https://open.spotify.com/artist/3EhbVgyfGd7HkpsagwL9GS
Alice Cooper,"album rock, classic rock, detroit rock, glam metal, glam rock, hard rock, metal, protopunk, rock",3740417,55,https://open.spotify.com/artist/3EhbVgyfGd7HkpsagwL9GS
Alice Cooper,"album rock, classic rock, detroit rock, glam metal, glam rock, hard rock, metal, protopunk, rock",3740417,51,https://open.spotify.com/artist/3EhbVgyfGd7HkpsagwL9GS
Alice Cooper,"album rock, classic rock, detroit rock, glam metal, glam rock, hard rock, metal, protopunk, rock",3740417,49,https://open.spotify.com/artist/3EhbVgyfGd7HkpsagwL9GS
Alice Cooper,"album rock, classic rock, detroit rock, glam metal, glam rock, hard rock, metal, protopunk, rock",3740417,48,https://open.spotify.com/artist/3EhbVgyfGd7HkpsagwL9GS
Alice Cooper,"album rock, classic rock, detroit rock, glam metal, glam rock, hard rock, metal, protopunk, rock",3740417,47,https://open.spotify.com/artist/3EhbVgyfGd7HkpsagwL9GS
Alice Cooper,"album rock, classic rock, detroit rock, glam metal, glam rock, hard rock, metal, protopunk, rock",3740417,46,https://open.spotify.com/artist/3EhbVgyfGd7HkpsagwL9GS
Alice Cooper,"album rock, classic rock, detroit rock, glam metal, glam rock, hard rock, metal, protopunk, rock",3740417,46,https://open.spotify.com/artist/3EhbVgyfGd7HkpsagwL9GS
Alfredo Olivas,"banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",8774350,78,https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8
Alfredo Olivas,"banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",8774350,77,https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8
Alfredo Olivas,"banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",8774350,76,https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8
Alfredo Olivas,"banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",8774350,76,https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8
Alfredo Olivas,"banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",8774350,75,https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8
Alfredo Olivas,"banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",8774350,74,https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8
Alfredo Olivas,"banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",8774350,74,https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8
Alfredo Olivas,"banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",8774350,73,https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8
